Base	Mean	Median	Lower_Quartile	Upper_Quartile	10th_Percentile	90th_Percentile	sample
86	29.244664407577762	30.0	29.2	31.0	26.6	31.6	RMNISTHS_30xdownsample
87	29.244664407577762	30.0	29.2	31.0	26.6	31.6	RMNISTHS_30xdownsample
88	29.244664407577762	30.0	29.2	31.0	26.6	31.6	RMNISTHS_30xdownsample
90	29.565413237968936	30.8	29.8	31.0	27.0	32.0	RMNISTHS_30xdownsample
91	29.565413237968936	30.8	29.8	31.0	27.0	32.0	RMNISTHS_30xdownsample
92	29.565413237968936	30.8	29.8	31.0	27.0	32.0	RMNISTHS_30xdownsample
93	29.565413237968936	30.8	29.8	31.0	27.0	32.0	RMNISTHS_30xdownsample
95	29.69769433858296	31.0	30.0	31.0	27.2	32.0	RMNISTHS_30xdownsample
96	29.69769433858296	31.0	30.0	31.0	27.2	32.0	RMNISTHS_30xdownsample
97	29.69769433858296	31.0	30.0	31.0	27.2	32.0	RMNISTHS_30xdownsample
98	29.69769433858296	31.0	30.0	31.0	27.2	32.0	RMNISTHS_30xdownsample
100	29.80150573556049	30.8	30.0	31.6	27.4	32.0	RMNISTHS_30xdownsample
101	29.80150573556049	30.8	30.0	31.6	27.4	32.0	RMNISTHS_30xdownsample
102	29.80150573556049	30.8	30.0	31.6	27.4	32.0	RMNISTHS_30xdownsample
103	29.80150573556049	30.8	30.0	31.6	27.4	32.0	RMNISTHS_30xdownsample
105	30.01490453176922	31.0	30.0	32.0	27.8	32.0	RMNISTHS_30xdownsample
106	30.01490453176922	31.0	30.0	32.0	27.8	32.0	RMNISTHS_30xdownsample
107	30.01490453176922	31.0	30.0	32.0	27.8	32.0	RMNISTHS_30xdownsample
108	30.01490453176922	31.0	30.0	32.0	27.8	32.0	RMNISTHS_30xdownsample
110	30.247926424976537	31.4	30.2	32.0	28.0	32.4	RMNISTHS_30xdownsample
111	30.247926424976537	31.4	30.2	32.0	28.0	32.4	RMNISTHS_30xdownsample
112	30.247926424976537	31.4	30.2	32.0	28.0	32.4	RMNISTHS_30xdownsample
113	30.247926424976537	31.4	30.2	32.0	28.0	32.4	RMNISTHS_30xdownsample
115	30.39881221509961	32.0	31.0	32.0	28.0	33.0	RMNISTHS_30xdownsample
116	30.39881221509961	32.0	31.0	32.0	28.0	33.0	RMNISTHS_30xdownsample
117	30.39881221509961	32.0	31.0	32.0	28.0	33.0	RMNISTHS_30xdownsample
118	30.39881221509961	32.0	31.0	32.0	28.0	33.0	RMNISTHS_30xdownsample
120	30.48113026486185	32.0	31.0	32.0	28.0	33.0	RMNISTHS_30xdownsample
121	30.48113026486185	32.0	31.0	32.0	28.0	33.0	RMNISTHS_30xdownsample
122	30.48113026486185	32.0	31.0	32.0	28.0	33.0	RMNISTHS_30xdownsample
123	30.48113026486185	32.0	31.0	32.0	28.0	33.0	RMNISTHS_30xdownsample
125	30.56540738720246	32.0	31.0	32.2	28.0	33.0	RMNISTHS_30xdownsample
126	30.56540738720246	32.0	31.0	32.2	28.0	33.0	RMNISTHS_30xdownsample
127	30.56540738720246	32.0	31.0	32.2	28.0	33.0	RMNISTHS_30xdownsample
128	30.56540738720246	32.0	31.0	32.2	28.0	33.0	RMNISTHS_30xdownsample
130	30.964058906681014	32.4	31.0	33.0	28.0	33.4	RMNISTHS_30xdownsample
131	30.964058906681014	32.4	31.0	33.0	28.0	33.4	RMNISTHS_30xdownsample
132	30.964058906681014	32.4	31.0	33.0	28.0	33.4	RMNISTHS_30xdownsample
133	30.964058906681014	32.4	31.0	33.0	28.0	33.4	RMNISTHS_30xdownsample
135	31.248891352193613	33.0	32.0	33.0	28.0	34.0	RMNISTHS_30xdownsample
136	31.248891352193613	33.0	32.0	33.0	28.0	34.0	RMNISTHS_30xdownsample
137	31.248891352193613	33.0	32.0	33.0	28.0	34.0	RMNISTHS_30xdownsample
138	31.248891352193613	33.0	32.0	33.0	28.0	34.0	RMNISTHS_30xdownsample
140	31.338552937239825	33.0	31.8	33.0	28.0	34.0	RMNISTHS_30xdownsample
141	31.338552937239825	33.0	31.8	33.0	28.0	34.0	RMNISTHS_30xdownsample
142	31.338552937239825	33.0	31.8	33.0	28.0	34.0	RMNISTHS_30xdownsample
143	31.338552937239825	33.0	31.8	33.0	28.0	34.0	RMNISTHS_30xdownsample
145	28.799839441092715	30.25	29.25	30.25	26.5	31.25	RMNISTHS_30xdownsample
146	28.799839441092715	30.25	29.25	30.25	26.5	31.25	RMNISTHS_30xdownsample
147	28.799839441092715	30.25	29.25	30.25	26.5	31.25	RMNISTHS_30xdownsample
